kodebrg,namabrg,satuanbrg,hargabrg
P-1,Pensil 2B,Pcs,1000
P-2,Pensil 3B,Pcs,2000
P-3,Pensil Warna Warni,Pcs,3000
P-4,Pensil Spongebob,Pcs,4000
E-5,Penghapus Pensil,Pcs,5000
E-6,Penghapus Krayon,Pcs,6000
E-7,Penghapus Pulpen,Pcs,7000
A-8,Pulpen Multiwarna,Pcs,8000
A-9,Pulpen Jokowi,Pcs,9000
K-10,Kertas A4,Rim,10000
K-11,Kertas A5,Rim,11000
K-12,Kertas A6,Rim,12000
A-13,Solatip Putih,Rol,13000
A-14,Solatip Hitam,Rol,14000
A-15,Tipe X Cair,Pcs,15000
A-16,Tipe X Kertas,Pcs,16000
A-17,Pisau Cutter Ga tajem,Pcs,17000
A-18,Pisau Cutter Tajem,Pcs,18000
A-19,Spidol Dewa,Pcs,19000
A-20,Spidol Tapi warna warni,Pcs,20000
